"년월일","호기","총량","평균","최대","최소","최대(시간별)","최소(시간별)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2013-02-04","2","155771.00","6490.00","8009.00","1149.00","8009.00","1149.00","1787.00","1880.00","3436.00","1149.00","4218.00","3911.00","7129.00","7992.00","8007.00","7960.00","8009.00","7997.00","7719.00","7649.00","7831.00","7904.00","7941.00","7973.00","7938.00","7658.00","7562.00","7067.00","7327.00","7727.00"
"2013-02-05","1","30366.00","1265.00","9007.00","0","9007.00","8","7728.00","9007.00","5974.00","3032.00","642","189","8","0","14","722","484","143","12","1118.00","345","0","0","0","0","0","0","0","26","922"
"2013-02-05","2","25110.00","1046.00","7396.00","0","7396.00","5","6768.00","7396.00","5026.00","2303.00","373","116","5","0","8","578","368","124","22","785","250","0","0","0","0","0","0","0","41","947"
"2013-02-06","1","189992.00","7916.00","11393.00","4035.00","11393.00","4035.00","8670.00","8780.00","8332.00","9374.00","9236.00","8571.00","7430.00","8534.00","11393.00","10387.00","8638.00","9523.00","7722.00","6986.00","7675.00","7066.00","7299.00","9168.00","4634.00","4035.00","7532.00","7693.00","4563.00","6751.00"
"2013-02-06","2","153944.00","6414.00","7569.00","3243.00","7569.00","3243.00","6663.00","7492.00","6990.00","7569.00","7429.00","6941.00","5927.00","6365.00","7377.00","7038.00","7022.00","6868.00","6460.00","5889.00","6029.00","6178.00","5985.00","7367.00","4358.00","3243.00","6621.00","7087.00","4964.00","6082.00"
"2013-02-07","1","222645.00","9277.00","11847.00","2681.00","11847.00","2681.00","4799.00","3767.00","3356.00","2681.00","5479.00","5273.00","6377.00","8386.00","9023.00","11157.00","11708.00","11847.00","11845.00","11714.00","11446.00","11837.00","11390.00","11627.00","11623.00","11677.00","11618.00","11120.00","11463.00","11432.00"
"2013-02-07","2","153721.00","6405.00","7899.00","2372.00","7899.00","2372.00","3979.00","3462.00","3516.00","2372.00","4204.00","3970.00","5018.00","6559.00","6737.00","7729.00","7812.00","7899.00","7875.00","7781.00","7782.00","7880.00","7650.00","7773.00","7801.00","7781.00","7742.00","7373.00","7657.00","5369.00"
"2013-02-08","1","167013.00","6959.00","11814.00","676","11814.00","676","10708.00","10735.00","10794.00","10916.00","11282.00","10747.00","11287.00","11774.00","11814.00","11609.00","10801.00","9712.00","8633.00","6536.00","3517.00","2761.00","2746.00","1670.00","865","676","1280.00","2420.00","1932.00","1798.00"
"2013-02-08","2","106425.00","4434.00","7879.00","449","7879.00","449","3728.00","3709.00","6292.00","7378.00","5877.00","7321.00","7618.00","7845.00","7879.00","7749.00","7583.00","6777.00","6199.00","5114.00","2738.00","2003.00","2060.00","1235.00","623","449","1018.00","1756.00","1873.00","1601.00"
"2013-02-09","1","96227.00","4009.00","7931.00","1241.00","7931.00","1241.00","2977.00","2833.00","4193.00","2295.00","3413.00","4440.00","4066.00","2376.00","4038.00","4014.00","5939.00","5355.00","6846.00","7316.00","7931.00","5483.00","6134.00","2337.00","1603.00","1241.00","2071.00","2811.00","3587.00","2928.00"
"2013-02-09","2","77099.00","3212.00","6524.00","1056.00","6524.00","1056.00","2704.00","2785.00","3792.00","2040.00","2354.00","3271.00","2997.00","2013.00","3598.00","3222.00","4027.00","3753.00","5284.00","5778.00","6524.00","5076.00","5515.00","1949.00","1251.00","1056.00","1531.00","1975.00","2393.00","2211.00"
"2013-02-10","1","135655.00","5652.00","9851.00","2027.00","9851.00","2027.00","4123.00","7727.00","8848.00","7214.00","5489.00","9225.00","9851.00","9554.00","8428.00","7004.00","5235.00","2805.00","2126.00","3498.00","5485.00","6867.00","7069.00","5493.00","4646.00","4936.00","2078.00","2027.00","2375.00","3552.00"
"2013-02-10","2","116218.00","4842.00","7841.00","1723.00","7841.00","1723.00","3119.00","6679.00","7841.00","6848.00","5280.00","7728.00","7732.00","7275.00","6342.00","5704.00","4069.00","2277.00","1723.00","2870.00","4167.00","5723.00","6065.00","4386.00","3790.00","4327.00","2688.00","2917.00","2715.00","3953.00"
"2013-02-11","1","114788.00","4783.00","9756.00","0","9756.00","71","6278.00","8517.00","7920.00","4456.00","6438.00","9756.00","9509.00","7743.00","8689.00","4804.00","4623.00","6309.00","5505.00","4430.00","3923.00","4542.00","5283.00","2833.00","2228.00","931","71","0","0","0"
"2013-02-11","2","89352.00","3723.00","7452.00","0","7452.00","59","5861.00","6713.00","6559.00","3534.00","5282.00","7452.00","7202.00","5370.00","6321.00","3945.00","3479.00","4738.00","4181.00","3518.00","3583.00","3374.00","3647.00","2295.00","1586.00","653","59","0","0","0"
"2013-02-12","1","100849.00","4202.00","11569.00","0","11569.00","2","113","2","0","0","0","34","82","0","0","0","362","1584.00","5356.00","3996.00","6138.00","8762.00","9075.00","7410.00","9870.00","11154.00","11569.00","10654.00","7542.00","7146.00"
"2013-02-12","2","80383.00","3349.00","7686.00","0","7686.00","3","56","3","0","0","0","147","118","0","0","0","669","1889.00","4747.00","4853.00","6899.00","7528.00","6994.00","5699.00","6837.00","7482.00","7686.00","7131.00","5818.00","5827.00"
"2013-02-13","1","77122.00","3213.00","8277.00","206","8277.00","206","8277.00","7077.00","5288.00","5127.00","4568.00","3671.00","2960.00","2302.00","3351.00","3862.00","4444.00","2561.00","1960.00","2298.00","1441.00","1847.00","3129.00","2828.00","2739.00","3049.00","1700.00","1576.00","861","206"
"2013-02-13","2","59747.00","2489.00","6107.00","244","6107.00","244","5902.00","6107.00","4622.00","4550.00","3864.00","2540.00","2088.00","1551.00","2493.00","3826.00","3704.00","1998.00","1299.00","1507.00","909","1277.00","2241.00","1887.00","1806.00","2028.00","1453.00","1201.00","650","244"
"2013-02-14","1","9953.00","415","1756.00","0","1756.00","143","143","595","907","1756.00","1707.00","609","793","965","520","0","0","0","0","0","0","0","0","0","0","0","0","0","451","1507.00"
"2013-02-14","2","7956.00","332","1529.00","0","1529.00","328","328","440","775","1529.00","1125.00","405","491","703","408","0","0","0","0","0","0","0","0","0","0","0","0","0","574","1178.00"
"2013-02-15","1","228645.00","9527.00","11993.00","2707.00","11993.00","2707.00","2707.00","4814.00","5217.00","9197.00","3958.00","5716.00","9192.00","10644.00","10146.00","11683.00","11896.00","11993.00","11811.00","10982.00","10382.00","11052.00","11069.00","11031.00","10925.00","11325.00","11289.00","10668.00","10589.00","10359.00"
"2013-02-15","2","156680.00","6528.00","7990.00","2315.00","7990.00","2315.00","2315.00","4102.00","4910.00","6491.00","3466.00","4731.00","5785.00","7031.00","6702.00","7696.00","7925.00","7990.00","7927.00","7466.00","6857.00","7464.00","7523.00","7339.00","7270.00","7586.00","7497.00","7012.00","6849.00","6746.00"
"2013-02-16","1","151778.00","6324.00","12000.00","0","12000.00","112","10154.00","9560.00","10410.00","11857.00","11988.00","12000.00","11862.00","10253.00","10148.00","9599.00","6878.00","9161.00","8082.00","6348.00","4244.00","2686.00","1713.00","2381.00","1736.00","465","141","112","0","0"
"2013-02-16","2","101506.00","4229.00","7998.00","0","7998.00","26","6569.00","6251.00","6669.00","7816.00","7982.00","7998.00","7976.00","7173.00","7018.00","6664.00","4835.00","6218.00","5524.00","3912.00","2846.00","2044.00","1236.00","1430.00","964","274","81","26","0","0"
"2013-02-17","1","40765.00","1699.00","6767.00","0","6767.00","98","98","354","669","448","828","2085.00","2559.00","1870.00","1590.00","1114.00","0","286","746","364","1683.00","3015.00","3943.00","3743.00","6767.00","4533.00","2603.00","1467.00","0","0"
"2013-02-17","2","22878.00","953","3821.00","0","3821.00","10","186","438","601","349","769","1122.00","1273.00","920","737","582","0","149","303","172","1012.00","1596.00","2220.00","1894.00","3821.00","2667.00","1139.00","918","10","0"
